Actual,Predicted
118500,114646.7485242252
141000,123288.06453503075
239000,266328.75471761764
276000,334109.22070157516
556581,425501.87952639384
244400,226667.8744613697
360000,355314.0156428026
103200,105645.54223860649
102000,88930.23583951173
151000,147828.53682465898
285000,318573.7322241593
134432,106746.42715425766
113000,117946.99597116327
187500,213911.38403792644
125500,132629.6918535584
177500,165053.92209049175
179900,201298.03939330124
55993,109611.87760606443
132500,131991.49912656448
135000,144657.27740395884
255000,245029.71872508235
140000,145832.4434588682
271000,251475.7406190707
246578,221723.3866385204
202500,202482.83326669305
75000,83800.16133511998
122500,117303.06264200388
108480,55000.38814108458
160000,153018.1523655518
171000,180182.07612612552
196000,198635.80327157758
225000,207397.73609671474
197000,197987.47973736294
40000,89881.98068219773
172500,201096.29980578402
154900,127748.66364687134
280000,254239.46815241256
175000,217260.25145452877
147000,115112.61378785514
315000,313871.5770760103
185000,191469.15424385725
135500,120740.86824644054
239500,226581.2421840647
139000,138718.23863223754
140000,144999.65749183542
110000,97888.60454009753
225000,217485.77303732594
143500,145846.75109973422
128950,115677.21856862132
172500,179949.06108197197
241500,-495863.5620550878
262500,253950.24580315303
194201,213826.08324131893
143000,148031.87279528507
130000,137537.72087046807
126000,99165.66989551624
142500,124343.40255545254
254000,213731.2181669377
217500,219102.07460494747
66500,81507.43814452214
201000,210126.38156171248
155000,150786.89609058073
68400,67437.50041564438
64500,84180.3196757579
173000,166349.498016404
102776,111899.89348529594
84900,80675.03985501395
165600,167781.06207084842
120000,110335.01502146083
135000,138479.96592784603
220000,224779.47648921388
153575,150950.64043569088
195400,204442.5915734173
147000,166278.9838133147
277000,242108.48372909974
143000,104799.58915810764
105900,109380.21097299713
242000,271051.59341786976
194500,226890.66490544647
438780,469514.5355803062
185000,180184.51900403446
107500,146814.7658413559
165000,152117.85647843033
176000,169658.84382964717
129900,144655.08042640926
115000,96491.98506643274
192140,188773.28981419618
160000,157230.03343448113
145000,153606.274149196
86000,104555.455331921
158000,140665.50618799136
127500,135417.55296009674
115000,113775.29226806213
119500,127011.6347876417
175900,169803.65160839166
240000,250358.52234209457
395000,298099.8906096335
165000,180680.21434254257
128200,138875.9379397384
275000,245916.2289770575
311872,345263.8660252857
214000,226307.06191612675
153500,165802.71944686398
144000,131422.92329380603
115000,106180.74746201455
180000,176359.33246885962
465000,415859.0016202022
180000,229178.4909718366
253000,230759.86077236
85000,74048.30341138842
101800,77881.69641127449
148500,147418.28236831923
137500,136493.99256874085
318061,319106.1651230565
143000,226933.5682504793
140000,131597.8291291428
192500,202979.88005173963
92000,95038.27672662784
197000,202757.8535140251
109500,104940.30837561144
297000,298339.13492893835
185750,185408.59404290735
230000,211609.7957093242
89471,153280.08003803669
260000,290946.5657302545
189000,185613.69880752277
108000,83803.62498287205
124500,113119.85995012824
